,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach,Preds,Margin Of Error
318,1,0,16,4.557,13,0.22,327.75,0,1,0,0,0,0,296.7653171741607,-30.984682825839286
319,1,0,16,4.557,13,0.22,395.0,0,1,0,0,0,0,296.7653171741607,-98.23468282583929
320,0,1,25,101.458,80,10.42,710.41,0,0,1,0,0,0,689.5850885294443,-20.824911470555662
321,0,0,45,11.062,16,0.27,448.5,0,0,0,0,1,0,455.37683021677583,6.876830216775829
322,0,0,45,11.062,16,0.27,542.225,0,0,0,0,1,0,455.37683021677583,-86.8481697832242
323,0,0,45,11.062,16,0.27,400.0,0,0,0,0,1,0,455.37683021677583,55.37683021677583
324,0,0,45,11.062,16,0.27,435.0,0,0,0,0,1,0,455.37683021677583,20.37683021677583
325,0,1,75,29.743,35,3.78,897.0,0,1,0,0,0,1,961.3390819902801,64.33908199028008
326,0,1,75,29.743,35,3.78,1265.0,0,1,0,0,0,1,961.3390819902801,-303.6609180097199
327,0,1,100,111.171,92,10.77,1713.5,0,0,0,0,1,1,1746.8080160905906,33.30801609059063
