Trip Number,Purpose,Vehicle class,Trip type,Passengers,Date of enquiry,Leg 1 start date,Distance in kms,Travel time minutes,Total time elapsed(hours),Trip starts before 7 am,Trip ends after 6pm,Supplier id,Supplier Quote(including GST),Total google distance to the closest depot,Closest depot,Closest city id,Closest city Google distance(km)
#0316202119,Club or Society,Budget,Return,30,16/03/2021,17/04/2021,308.88,250,13.6,No,Yes,318,1870,8,693,451,0.0
#031420213,Other,Budget,One Way,10,14/03/2021,10/04/2021,26.56,23,0.38,No,No,207,160,174,800,533,6.6
#031720214,Other,Budget,Return,50,17/03/2021,15/04/2021,1258.19,917,103.58,Yes,No,326,6391.7,32,745,426,18.1
#031820217,School Trip,Budget,Return,25,18/03/2021,22/04/2021,15.241,24,3.2,No,No,308,207,6,701,429,7.0
#031820216,School Trip,Budget,Return,25,18/03/2021,21/04/2021,14.692,22,2.68,No,No,308,207,6,701,429,7.0
#031820215,Other,Budget,One Way,60,18/03/2021,12/04/2021,17.92,20,0.33,No,No,211,400,37,773,426,22.5
#031820214,Educational Trip,Standard,Return,22,18/03/2021,16/04/2021,45.88,39,4.32,No,No,207,330,122,800,426,20.0
#031720217,Club or Society,Budget,Return,50,17/03/2021,01/04/2021,239.779,178,96.98,No,No,207,2100,126,800,426,22.1
#031720216,Sports Game,Luxury,Return,50,17/03/2021,05/10/2021,1282.493,942,119.83,No,No,326,7601.5,36,745,426,11.4
#031720212,Sports Game,Standard,Return,30,17/03/2021,01/04/2021,888.788,665,102.53,No,No,326,6965.55,29,745,426,2.8
#0304202114,Corporate Event,Budget,Return,18,04/03/2021,01/05/2021,51.012,49,4.38,No,No,211,400,48,773,426,1.7
#0316202112,Corporate Event,Budget,Return,15,16/03/2021,08/04/2021,70.44,66,6.05,No,No,323,584.2,10,740,432,0.5
#0316202111,Other,Budget,Return,60,16/03/2021,17/04/2021,39.676,36,18.78,No,No,325,631.93,4,742,455,0.4
#031620218,Corporate Event,Budget,One Way,110,16/03/2021,26/03/2021,3.603,6,0.1,No,No,326,1328.25,35,745,426,0.7
#0315202110,Wedding,Standard,Return,19,15/03/2021,03/04/2021,11.441,18,6.9,No,Yes,325,402.5,6,742,455,0.9
#031520216,Corporate Event,Luxury,Return,50,15/03/2021,20/03/2021,37.309,46,3.12,No,No,310,720,20,696,436,12.2
#031220214,Corporate Event,Standard,Return,30,12/03/2021,14/04/2021,160.203,117,8.22,No,Yes,310,950,10,696,436,4.2
#0304202114,Corporate Event,Budget,Return,18,04/03/2021,01/05/2021,51.012,49,4.38,No,No,326,552,48,745,426,1.7
#031220212,Corporate Event,Budget,One Way,31,12/03/2021,19/03/2021,22.438,19,0.32,No,Yes,192,535,107,772,426,18.6
#030520212,Other,Luxury,Return,30,05/03/2021,05/06/2021,120.073,103,6.37,No,No,308,402.5,16,701,429,0.0
#0311202110,Sports Game,Budget,Return,33,11/03/2021,28/03/2021,111.31,95,12.82,No,Yes,326,830.99,120,745,506,8.5
#030920215,School Trip,Budget,Return,198,09/03/2021,19/03/2021,11.417,22,5.43,No,No,211,1990,64,773,426,10.6
#030920213,Wedding,Budget,Return,40,09/03/2021,03/04/2021,64.219,62,12.52,No,No,315,644,4,722,438,0.5
#030820211,Educational Trip,Standard,Return,40,08/03/2021,18/04/2021,943.806,748,36.73,Yes,Yes,211,3950,24,773,426,20.2
#030820212,Other,Budget,One Way,40,08/03/2021,19/03/2021,6.089,14,0.23,No,No,323,319.7,9,740,432,2.0
#030720217,School Trip,Budget,Return,60,07/03/2021,25/03/2021,18.7,34,2.78,No,Yes,326,747.5,36,745,426,12.3
#030720213,Other,Budget,Return,19,07/03/2021,13/03/2021,45.889,49,7.15,No,Yes,314,644,52,718,476,2.7
#0306202112,Club or Society,Standard,One Way,30,06/03/2021,02/04/2021,196.029,141,2.35,No,No,326,1351.25,200,745,506,34.8
#030520218,Sports Game,Luxury,Return,30,05/03/2021,27/03/2021,103.356,88,9.68,No,No,326,3139,3,745,426,23.1
#0304202116,Corporate Event,Budget,Return,9,04/03/2021,20/03/2021,134.738,112,14.18,No,No,318,950,8,693,451,0.9
#030520219,School Trip,Budget,Return,25,05/03/2021,31/03/2021,116.733,107,5.88,No,No,325,823.4,120,742,509,65.6
#030220215,Concert,Standard,Return,100,02/03/2021,03/04/2021,436.123,363,15.02,No,No,318,5200,115,693,549,16.1
#030420216,Wedding,Standard,One Way,30,04/03/2021,20/03/2021,42.448,35,0.58,No,Yes,349,451,58,870,461,54.4
#0303202113,Business Travel,Standard,Return,12,03/03/2021,01/05/2021,320.758,229,60.9,No,Yes,326,1721.55,46,745,426,0.7
#030320218,Other,Budget,Return,37,03/03/2021,04/04/2021,112.638,107,6.4,No,Yes,343,725,22,758,529,10.2
#030320217,Other,Luxury,Return,20,03/03/2021,17/04/2021,131.269,131,10.1,Yes,No,310,803,2,696,436,2.5
#030320211,Corporate Event,Standard,Return,23,03/03/2021,28/04/2021,32.339,43,36.35,No,Yes,211,520,22,773,426,25.9
#030220217,Educational Trip,Budget,Return,34,02/03/2021,08/03/2021,3.631,6,2.03,No,No,354,220,6,726,467,4.6
#030120212,Seniors Trip,Luxury,Return,30,01/03/2021,08/04/2021,146.731,116,5.22,No,No,314,651,46,718,476,1.2
#022820213,Other,Budget,One Way,30,28/02/2021,06/03/2021,47.621,41,0.68,No,Yes,251,333.5,58,770,538,6.0
#022620213,Wedding,Budget,Return,30,26/02/2021,10/04/2021,60.995,56,3.97,No,Yes,202,747.5,40,809,426,3.9
#022620214,Other,Budget,Return,20,26/02/2021,06/03/2021,71.279,62,6,No,No,323,489.325,8,740,432,0.9
#021920211,Concert,Budget,Return,13,19/02/2021,27/03/2021,103.131,85,7.95,No,No,207,575,200,800,483,10.7
#022520214,Seniors Trip,Budget,Return,40,25/02/2021,15/03/2021,21.618,29,3.23,No,No,326,471.5,28,745,426,10.4
#021920211,Concert,Budget,Return,13,19/02/2021,27/03/2021,103.131,85,7.95,No,No,314,832,98,716,483,10.7
#022520212,Sports Game,Luxury,Return,40,25/02/2021,14/03/2021,132.799,114,14.98,No,Yes,326,667,116,745,506,6.8
#0224202113,School Trip,Budget,Return,30,24/02/2021,23/03/2021,64.833,53,9.45,No,No,326,768.2,66,745,426,12.1
#0224202114,Other,Budget,Return,100,24/02/2021,06/03/2021,44.544,41,5.08,No,No,323,1458.2,12,740,432,1.9
#022420219,Other,Budget,Return,50,24/02/2021,20/03/2021,69.759,64,10.52,No,Yes,323,931.5,76,740,488,0.5
#022420215,Hen or Stag Do,Budget,One Way,12,24/02/2021,06/03/2021,7.664,13,0.22,No,No,326,333.5,44,745,426,3.6
#022420212,School Trip,Budget,Return,29,24/02/2021,01/03/2021,34.992,39,4.07,No,No,313,600.53,20,720,517,3.9
#022320215,Corporate Event,Standard,Return,20,23/02/2021,20/03/2021,210.873,166,12.37,No,Yes,314,1096,6,714,452,3.6
