,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach,Preds,Margin Of Error
223,0,1,50,150.869,121,9.0,881.19,0,0,0,0,0,1,1211.369384765625,330.17938476562495
224,0,1,50,150.869,121,9.0,845.25,0,0,0,0,0,1,1211.369384765625,366.119384765625
225,0,0,14,33.035,30,0.5,300.0,0,1,0,0,0,0,298.5600280761719,-1.439971923828125
226,0,0,20,33.361999999999995,29,0.48,402.5,0,1,0,0,0,0,331.0113830566406,-71.48861694335938
227,0,0,20,33.361999999999995,29,0.48,345.0,0,1,0,0,0,0,331.0113830566406,-13.988616943359375
228,1,0,40,56.5,48,0.8,575.0,0,0,0,1,0,0,840.3753662109375,265.3753662109375
229,1,0,40,56.5,48,0.8,747.5,0,0,0,1,0,0,840.3753662109375,92.8753662109375
230,0,1,45,48.212,53,8.93,900.0,0,0,0,0,1,0,834.591796875,-65.408203125
231,0,1,90,46.408,51,10.17,1075.25,0,0,0,1,0,1,1375.005859375,299.755859375
232,0,1,18,14.975,12,9.35,470.0,0,1,0,0,0,0,340.5291442871094,-129.47085571289062
233,0,1,18,14.975,12,9.35,475.0,0,1,0,0,0,0,340.5291442871094,-134.47085571289062
234,0,1,18,14.975,12,9.35,320.0,0,1,0,0,0,0,340.5291442871094,20.529144287109375
235,0,0,20,5.65,14,0.23,250.0,0,1,0,0,0,0,294.9783630371094,44.978363037109375
236,0,1,70,24.316,27,3.23,1278.8,0,1,0,0,0,1,861.3823852539062,-417.4176147460937
237,0,1,11,39.342,40,5.08,130.0,1,0,0,0,0,0,251.8924102783203,121.89241027832031
238,0,1,18,77.889,64,5.53,560.0,0,1,0,0,0,0,441.69873046875,-118.30126953125
239,0,1,26,110.013,93,9.78,805.0,0,0,1,0,0,0,766.41748046875,-38.58251953125
240,1,1,50,93.632,77,10.38,741.0,0,0,0,0,0,1,1306.1165771484375,565.1165771484375
241,0,1,30,364.675,270,203.75,2235.0,0,0,1,0,0,0,2374.71875,139.71875
242,0,1,30,364.675,270,203.75,2400.0,0,0,1,0,0,0,2374.71875,-25.28125
243,0,0,50,5.095,8,0.13,300.0,0,0,0,0,0,1,419.4648742675781,119.46487426757812
244,0,0,50,5.095,8,0.13,400.0,0,0,0,0,0,1,419.4648742675781,19.464874267578125
245,0,1,18,25.505,34,11.28,700.0,0,1,0,0,0,0,543.1143188476562,-156.88568115234375
246,0,1,18,25.505,34,11.28,632.0,0,1,0,0,0,0,543.1143188476562,-88.88568115234375
247,0,1,60,98.345,90,5.73,1334.0,1,0,0,0,0,1,990.4046020507812,-343.59539794921875
248,0,1,60,98.345,90,5.73,538.97,1,0,0,0,0,1,990.4046020507812,451.4346020507812
249,0,1,60,98.345,90,5.73,678.5,1,0,0,0,0,1,990.4046020507812,311.90460205078125
250,0,1,60,98.345,90,5.73,890.0,1,0,0,0,0,1,990.4046020507812,100.40460205078125
